№,Найменування,Тип,Розміри,Матеріал,"Товщина, мм",Од. вим.,Кількість,"Вага 1 шт, кг","Вага заг., кг","Площа 1 шт, м²","Площа заг., м²","Ціна 1 шт, грн","Ціна заг., грн",Примітки
1,Повітропровід 400×200,повітропровід прямокутний,400×200×1500,оцинкована сталь,0.7,шт,5,9.891,49.455,1.8,9.0,544.0,2720.03,
2,Повітропровід 500×300,повітропровід прямокутний,500×300×2000,оцинкована сталь,0.9,шт,3,22.608,67.824,3.2,9.6,1243.44,3730.32,
3,Повітропровід Ø250,повітропровід круглий,250×250×3000,оцинкована сталь,0.7,шт,4,12.9473,51.7892,2.3562,9.4248,712.1,2848.41,
4,Фланець 400×200,фланець прямокутний,400×200,оцинкована сталь,1.0,шт,10,0.9296,9.296,0.1184,1.184,51.13,511.28,
5,Фланець Ø250,фланець круглий,250×250,оцинкована сталь,1.0,шт,8,0.2022,1.6176,0.0258,0.2064,11.12,88.97,
6,Трійник 400×200/200×200,трійник прямокутний,400×200×800,оцинкована сталь,0.9,шт,2,10.0747,20.1494,1.426,2.852,554.11,1108.22,
7,Перехід 500×300→400×200,перехід прямокутний,500×300×400,оцинкована сталь,0.9,шт,1,4.352,4.352,0.616,0.616,239.36,239.36,
8,Відвід 400×200 90°,відвід прямокутний,400×200×300,оцинкована сталь,0.7,шт,4,1.8644,7.4576,0.3393,1.3572,102.54,410.17,
9,Заглушка 400×200,заглушка прямокутна,400×200×25,оцинкована сталь,0.7,шт,2,0.6649,1.3298,0.121,0.242,36.57,73.14,

,,,,,,ВСЬОГО:,39,,213.2706,,34.4824,,11729.88,
